# omega0=1, alpha=1.7
# theta0=0.1, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
4.194869726128591e+00 1.990252015778510e-03 -4.322352070887459e-03
4.286062546261821e+00 1.617765506566870e-03 -3.853312536869997e-03
4.377255366395051e+00 1.286317333325592e-03 -3.421967444909011e-03
4.468448186528281e+00 9.925656014784403e-04 -3.026224128323349e-03
4.559641006661511e+00 7.333581463666040e-04 -2.664016381201343e-03
4.650833826794742e+00 5.057295520106902e-04 -2.333316562192750e-03
4.742026646927972e+00 3.068971605480833e-04 -2.032145663949405e-03
4.833219467061202e+00 1.342562479563699e-04 -1.758581562641410e-03
4.924412287194432e+00 -1.462547711118174e-05 -1.510765645244335e-03
5.015605107327662e+00 -1.420139118506367e-04 -1.286907996430881e-03
5.106797927460892e+00 -2.500150115571365e-04 -1.085291311907086e-03
5.197990747594122e+00 -3.405815465273418e-04 -9.042736909010871e-04
5.289183567727353e+00 -4.155200678563400e-04 -7.422904472284169e-04
5.380376387860583e+00 -4.764979985111482e-04 -5.978550659035381e-04
5.471569207993813e+00 -5.250507771045786e-04 -4.695594206206370e-04
5.562762028127043e+00 -5.625889918086362e-04 -3.560733565620797e-04
5.653954848260273e+00 -5.904054509058548e-04 -2.561437328824414e-04
5.745147668393503e+00 -6.096821446474562e-04 -1.685930098296606e-04
5.836340488526734e+00 -6.214970604335693e-04 -9.231745677134895e-05
5.927533308659964e+00 -6.268308199146679e-04 -2.628504936131983e-05
6.018726128793194e+00 -6.265731124936397e-04 3.046688332379200e-05
6.109918948926424e+00 -6.215289049402229e-04 7.883420765834794e-05
6.201111769059654e+00 -6.124244114666803e-04 1.196486825809542e-04
6.292304589192884e+00 -5.999128127052848e-04 1.536807628951808e-04
6.383497409326115e+00 -5.845797156212791e-04 1.816424719273511e-04
6.474690229459345e+00 -5.669483495333971e-04 2.041903114662831e-04
6.565883049592575e+00 -5.474844961388985e-04 2.219281812291958e-04
6.657075869725805e+00 -5.266011537898202e-04 2.354102840107044e-04
6.748268689859035e+00 -5.046629382775321e-04 2.451439962061914e-04
6.839461509992265e+00 -4.819902240869927e-04 2.515926865839693e-04
6.930654330125495e+00 -4.588630315111409e-04 2.551784690384786e-04
7.021847150258726e+00 -4.355246661981866e-04 2.562848776140109e-04
7.113039970391956e+00 -4.121851186664921e-04 2.552594543685898e-04
7.204232790525186e+00 -3.890242320875111e-04 2.524162426729225e-04
7.295425610658416e+00 -3.661946472291691e-04 2.480381803307709e-04
7.386618430791646e+00 -3.438245338905075e-04 2.423793884844634e-04
7.477811250924876e+00 -3.220201184620713e-04 2.356673536511906e-04
7.569004071058107e+00 -3.008680174323936e-04 2.281050014396214e-04
7.660196891191337e+00 -2.804373867445138e-04 2.198726615385448e-04
7.751389711324567e+00 -2.607818969018020e-04 2.111299244648887e-04
7.842582531457797e+00 -2.419415436421641e-04 2.020173913217362e-04
7.933775351591027e+00 -2.239443038554290e-04 1.926583184609939e-04
8.024968171724257e+00 -2.068076462206878e-04 1.831601594823201e-04
8.116160991857488e+00 -1.905399057978084e-04 1.736160074410498e-04
8.207353811990718e+00 -1.751415315285464e-04 1.641059404935136e-04
8.298546632123948e+00 -1.606062152949694e-04 1.546982744878840e-04
8.389739452257178e+00 -1.469219108528255e-04 1.454507262212335e-04
8.480932272390408e+00 -1.340717506107688e-04 1.364114912368821e-04
8.572125092523638e+00 -1.220348678680733e-04 1.276202401376450e-04
8.663317912656868e+00 -1.107871317580277e-04 1.191090374469448e-04
8.754510732790099e+00 -1.003018017754575e-04 1.109031870669700e-04
8.845703552923329e+00 -9.055010839807668e-05 1.030220083666386e-04
8.936896373056559e+00 -8.150176594547072e-05 9.547954688701361e-05
9.028089193189789e+00 -7.312542345885796e-05 8.828522358248721e-05
9.119282013323019e+00 -6.538905903140076e-05 8.144442642651281e-05
9.210474833456249e+00 -5.826032267440470e-05 7.495904810450950e-05
9.301667653589480e+00 -5.170683247062975e-05 6.882797339699672e-05
9.392860473722710e+00 -4.569642844322777e-05 6.304751972588312e-05
9.484053293855940e+00 -4.019738825836274e-05 5.761183419865298e-05
9.575246113989170e+00 -3.517860858199533e-05 5.251325034118585e-05
9.666438934122400e+00 -3.060975562706214e-05 4.774260756205395e-05
9.757631754255630e+00 -2.646138815662586e-05 4.328953624106561e-05
9.848824574388860e+00 -2.270505595164908e-05 3.914271118402928e-05
9.940017394522091e+00 -1.931337650885448e-05 3.529007603546584e-05
1.003121021465532e+01 -1.626009250458029e-05 3.171904109237543e-05
1.012240303478855e+01 -1.352011234442950e-05 2.841665681607876e-05
1.021359585492178e+01 -1.106953591557761e-05 2.536976519636333e-05
1.030478867505501e+01 -8.885667468517340e-06 2.256513098329685e-05
1.039598149518824e+01 -6.947017377397456e-06 1.998955466763068e-05
1.048717431532147e+01 -5.233294362533888e-06 1.762996896110288e-05
1.057836713545470e+01 -3.725389604680429e-06 1.547352040346907e-05
1.066955995558793e+01 -2.405354037764387e-06 1.350763760396084e-05
1.076075277572116e+01 -1.256369974524424e-06 1.172008751124404e-05
1.085194559585439e+01 -2.627180973272632e-07 1.009902099790804e-05
1.094313841598762e+01 5.902592661238321e-07 8.633008943091224e-06
1.103433123612085e+01 1.316197765954885e-06 7.311069900019471e-06
1.112552405625408e+01 1.927752830829381e-06 6.122690343945529e-06
1.121671687638731e+01 2.436643011693111e-06 5.057838410134119e-06
1.130790969652054e+01 2.853694313291785e-06 4.106971951020110e-06
1.139910251665377e+01 3.188885030334147e-06 3.261041666329560e-06
1.149029533678700e+01 3.451390670669636e-06 2.511489989632231e-06
1.158148815692023e+01 3.649628607155204e-06 1.850246349310207e-06
1.167268097705346e+01 3.791302153433136e-06 1.269719361089930e-06
1.176387379718669e+01 3.883443807045371e-06 7.627864528953622e-07
1.185506661731992e+01 3.932457446566137e-06 3.227813706334729e-07
1.194625943745315e+01 3.944159308121311e-06 -5.652003458811418e-08
1.203745225758638e+01 3.923817601138061e-06 -3.809153815967497e-07
1.212864507771961e+01 3.876190653771523e-06 -6.557923810968704e-07
1.221983789785284e+01 3.805563505506993e-06 -8.861462261284727e-07
1.231103071798607e+01 3.715782888238015e-06 -1.076597506800468e-06
1.240222353811930e+01 3.610290557956440e-06 -1.231410436096627e-06
1.249341635825254e+01 3.492154957325490e-06 -1.354511201774801e-06
1.258460917838577e+01 3.364101205089387e-06 -1.449506284974035e-06
1.267580199851900e+01 3.228539421734594e-06 -1.519700609289591e-06
1.276699481865223e+01 3.087591412273597e-06 -1.568115404946244e-06
1.285818763878546e+01 2.943115736672148e-06 -1.597505691461515e-06
1.294938045891869e+01 2.796731206470154e-06 -1.610377299001269e-06
1.304057327905192e+01 2.649838852725764e-06 -1.609003363640972e-06
1.313176609918515e+01 2.503642415699363e-06 -1.595440245099821e-06
1.322295891931838e+01 2.359167410833881e-06 -1.571542827347120e-06
1.331415173945161e+01 2.217278828713086e-06 -1.538979172918041e-06
1.340534455958484e+01 2.078697528911894e-06 -1.499244510939253e-06
1.349653737971807e+01 1.944015389103293e-06 -1.453674546866272e-06
1.358773019985130e+01 1.813709271556329e-06 -1.403458088879039e-06
1.367892301998453e+01 1.688153869340559e-06 -1.349648991868493e-06
1.377011584011776e+01 1.567633494227633e-06 -1.293177425066297e-06
1.386130866025099e+01 1.452352867525353e-06 -1.234860473707482e-06
1.395250148038422e+01 1.342446973961273e-06 -1.175412088750512e-06
1.404369430051745e+01 1.237990037312478e-06 -1.115452401684012e-06
1.413488712065068e+01 1.139003674809803e-06 -1.055516423891582e-06
1.422607994078391e+01 1.045464285477036e-06 -9.960621519876975e-07
1.431727276091714e+01 9.573097255414329e-07 -9.374781020355326e-07
1.440846558105037e+01 8.744453219093583e-07 -8.800902966640025e-07
1.449965840118360e+01 7.967492724734332e-07 -8.241687298639070e-07
1.459085122131683e+01 7.240774797346242e-07 -7.699333347054251e-07
1.468204404145006e+01 6.562678619097562e-07 -7.175594794208229e-07
1.477323686158329e+01 5.931441833741151e-07 -6.671830172730428e-07
1.486442968171652e+01 5.345194439791044e-07 -6.189049154152769e-07
1.495562250184975e+01 4.801988645025283e-07 -5.727954875679821e-07
1.504681532198298e+01 4.299825032476284e-07 -5.288982548244129e-07
1.513800814211621e+01 3.836675366178915e-07 -4.872334582672205e-07
1.522920096224944e+01 3.410502343671954e-07 -4.478012463580911e-07
1.532039378238267e+01 3.019276581666026e-07 -4.105845592685336e-07
1.541158660251590e+01 2.660991101459424e-07 -3.755517314694148e-07
1.550277942264913e+01 2.333673561647421e-07 -3.426588330043597e-07
1.559397224278236e+01 2.035396467462805e-07 -3.118517689505869e-07
1.568516506291559e+01 1.764285568726947e-07 -2.830681556313976e-07
1.577635788304882e+01 1.518526641893090e-07 -2.562389911971753e-07
1.586755070318205e+01 1.296370836030374e-07 -2.312901372448193e-07
1.595874352331528e+01 1.096138747824438e-07 -2.081436272062634e-07
1.604993634344851e+01 9.162233767484436e-08 -1.867188163112456e-07
1.614112916358174e+01 7.550920984721077e-08 -1.669333870229457e-07
