# omega0=1, alpha=0.3
# theta0=0.1, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  1.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 9.958892898736270e-02 -8.968304472207735e-03
1.823856402664613e-01 9.837389532171913e-02 -1.762142411707241e-02
2.735784603996920e-01 9.638650753304159e-02 -2.589726158799155e-02
3.647712805329227e-01 9.366382436434516e-02 -3.373844137339866e-02
4.559641006661534e-01 9.024790878129128e-02 -4.109263984990967e-02
5.471569207993838e-01 8.618535395891232e-02 -4.791286966849564e-02
6.383497409326140e-01 8.152678544947800e-02 -5.415771761182547e-02
7.295425610658441e-01 7.632634381238532e-02 -5.979153510409736e-02
8.207353811990743e-01 7.064115205813214e-02 -6.478458063964961e-02
9.119282013323045e-01 6.453077231923933e-02 -6.911311354175596e-02
1.003121021465535e+00 5.805665620533585e-02 -7.275943868017865e-02
1.094313841598765e+00 5.128159332066752e-02 -7.571190207018791e-02
1.185506661731995e+00 4.426916241305833e-02 -7.796483764475300e-02
1.276699481865225e+00 3.708318957736443e-02 -7.951846592680041e-02
1.367892301998455e+00 2.978721784829213e-02 -8.037874581552995e-02
1.459085122131685e+00 2.244399238319202e-02 -8.055718122112313e-02
1.550277942264916e+00 1.511496525302396e-02 -8.007058481428631e-02
1.641470762398146e+00 7.859823629070489e-03 -7.894080167827032e-02
1.732663582531376e+00 7.360448761770545e-04 -7.719439613907460e-02
1.823856402664606e+00 -6.201518255719880e-03 -7.486230548423285e-02
1.915049222797836e+00 -1.290101950557786e-02 -7.197946464488779e-02
2.006242042931067e+00 -1.931396558962115e-02 -6.858440619702552e-02
2.097434863064297e+00 -2.539552525957643e-02 -6.471884022781253e-02
2.188627683197527e+00 -3.110479930589864e-02 -6.042721870906197e-02
2.279820503330757e+00 -3.640505030530040e-02 -5.575628902394645e-02
2.371013323463987e+00 -4.126389133249159e-02 -5.075464121156471e-02
2.462206143597217e+00 -4.565343326566158e-02 -4.547225333689568e-02
2.553398963730448e+00 -4.955039070756941e-02 -3.996003917375848e-02
2.644591783863678e+00 -5.293614691406217e-02 -3.426940212000415e-02
2.735784603996908e+00 -5.579677846567768e-02 -2.845179896221577e-02
2.826977424130138e+00 -5.812304073331233e-02 -2.255831678617452e-02
2.918170244263368e+00 -5.991031547462293e-02 -1.663926600241594e-02
3.009363064396598e+00 -6.115852215386714e-02 -1.074379213449722e-02
3.100555884529828e+00 -6.187199480516333e-02 -4.919508709759290e-03
3.191748704663059e+00 -6.205932645922052e-02 7.878466957281768e-04
3.282941524796289e+00 -6.173318332841415e-02 6.334731471625810e-03
3.374134344929519e+00 -6.091009109678400e-02 1.168009050278315e-02
3.465327165062749e+00 -5.961019579216013e-02 1.678562088987601e-02
3.556519985195979e+00 -5.785700182898045e-02 2.161600774022349e-02
3.647712805329209e+00 -5.567708990385092e-02 2.613913009776660e-02
3.738905625462440e+00 -5.309981750243687e-02 3.032623626391337e-02
3.830098445595670e+00 -5.015700483626340e-02 3.415208794206817e-02
3.921291265728900e+00 -4.688260907134990e-02 3.759507282333287e-02
4.012484085862130e+00 -4.331238973678390e-02 4.063728542330999e-02
4.103676905995361e+00 -3.948356820949908e-02 4.326457618306381e-02
4.194869726128591e+00 -3.543448416061333e-02 4.546656906246912e-02
4.286062546261821e+00 -3.120425181760647e-02 4.723664808112586e-02
4.377255366395051e+00 -2.683241884437347e-02 4.857191349885355e-02
4.468448186528281e+00 -2.235863056701905e-02 4.947310857115939e-02
4.559641006661511e+00 -1.782230217676577e-02 4.994451806045153e-02
4.650833826794742e+00 -1.326230142258906e-02 4.999383992572511e-02
4.742026646927972e+00 -8.716644165749543e-03 4.963203184607747e-02
4.833219467061202e+00 -4.222205007389247e-03 4.887313445071285e-02
4.924412287194432e+00 1.855549795446081e-04 4.773407332437683e-02
5.015605107327662e+00 4.472841579433248e-03 4.623444202736730e-02
5.106797927460892e+00 8.607760200383004e-03 4.439626850928577e-02
5.197990747594122e+00 1.256052667618604e-02 4.224376740255211e-02
5.289183567727353e+00 1.630365493240476e-02 3.980308075370568e-02
5.380376387860583e+00 1.981212058035449e-02 3.710200978725581e-02
5.471569207993813e+00 2.306349973974427e-02 3.416974029916913e-02
5.562762028127043e+00 2.603808262643429e-02 3.103656424695240e-02
5.653954848260273e+00 2.871896167334691e-02 2.773360004359337e-02
5.745147668393503e+00 3.109209417748800e-02 2.429251397694091e-02
5.836340488526734e+00 3.314633968210910e-02 2.074524506845527e-02
5.927533308659964e+00 3.487347250845506e-02 1.712373555983896e-02
6.018726128793194e+00 3.626817004486619e-02 1.345966907700087e-02
6.109918948926424e+00 3.732797758117334e-02 9.784218371968769e-03
6.201111769059654e+00 3.805325064260701e-02 6.127804388159828e-03
6.292304589192884e+00 3.844707592939015e-02 2.519868235691823e-03
6.383497409326115e+00 3.851517210558479e-02 -1.011342496615225e-03
6.474690229459345e+00 3.826577180357137e-02 -4.438971825663196e-03
6.565883049592575e+00 3.770948631883026e-02 -7.737736746575878e-03
6.657075869725805e+00 3.685915456360274e-02 -1.088409094179075e-02
6.748268689859035e+00 3.572967792768914e-02 -1.385637003044090e-02
6.839461509992265e+00 3.433784276023854e-02 -1.663491771550029e-02
6.930654330125495e+00 3.270213223800529e-02 -1.920219233896125e-02
7.021847150258726e+00 3.084252942326251e-02 -2.154285350757340e-02
7.113039970391956e+00 2.878031333840371e-02 -2.364382860373433e-02
7.204232790525186e+00 2.653784989424070e-02 -2.549435914810940e-02
7.295425610658416e+00 2.413837950513157e-02 -2.708602713230686e-02
7.386618430791646e+00 2.160580320638791e-02 -2.841276159094881e-02
7.477811250924876e+00 1.896446905801890e-02 -2.947082583191455e-02
7.569004071058107e+00 1.623896057396580e-02 -3.025878589021861e-02
7.660196891191337e+00 1.345388885788001e-02 -3.077746091346535e-02
7.751389711324567e+00 1.063369005565823e-02 -3.102985632342724e-02
7.842582531457797e+00 7.802429651987751e-03 -3.102108072722671e-02
7.933775351591027e+00 4.983615043855657e-03 -3.075824767103141e-02
8.024968171724257e+00 2.200017719286507e-03 -3.025036343733376e-02
8.116160991857488e+00 -5.264937444039092e-04 -2.950820218216653e-02
8.207353811990718e+00 -3.175108770576665e-03 -2.854416978963581e-02
8.298546632123948e+00 -5.726216997920528e-03 -2.737215788686043e-02
8.389739452257178e+00 -8.161536790234125e-03 -2.600738951207207e-02
8.480932272390408e+00 -1.046422934955864e-02 -2.446625796190433e-02
8.572125092523638e+00 -1.261899788093739e-02 -2.276616036080728e-02
8.663317912656868e+00 -1.461217139794496e-02 -2.092532749645003e-02
8.754510732790099e+00 -1.643177289837552e-02 -1.896265145061833e-02
8.845703552923329e+00 -1.806757177775831e-02 -1.689751252645252e-02
8.936896373056559e+00 -1.951112048342333e-02 -1.474960693108424e-02
9.028089193189789e+00 -2.075577554253768e-02 -1.253877661914661e-02
9.119282013323019e+00 -2.179670322285860e-02 -1.028484263866111e-02
9.210474833456249e+00 -2.263087020402171e-02 -8.007443247868493e-03
9.301667653589480e+00 -2.325701974924905e-02 -5.725877991061988e-03
9.392860473722710e+00 -2.367563397178983e-02 -3.458958834706425e-03
9.484053293855940e+00 -2.388888288668293e-02 -1.224869373284457e-03
9.575246113989170e+00 -2.390056102613994e-02 9.589669815344811e-04
9.666438934122400e+00 -2.371601247567133e-02 3.076009013727472e-03
9.757631754255630e+00 -2.334204525777032e-02 5.110709204280178e-03
9.848824574388860e+00 -2.278683605035551e-02 7.048614110409916e-03
9.940017394522091e+00 -2.205982627813312e-02 8.876453115811988e-03
1.003121021465532e+01 -2.117161065650399e-02 1.058221514943471e-02
1.012240303478855e+01 -2.013381929958431e-02 1.215521307467473e-02
1.021359585492178e+01 -1.895899452634844e-02 1.358613555485508e-02
1.030478867505501e+01 -1.766046351189755e-02 1.486708630393424e-02
1.039598149518824e+01 -1.625220793451118e-02 1.599161073309081e-02
1.048717431532147e+01 -1.474873176360293e-02 1.695471010358790e-02
1.057836713545470e+01 -1.316492831917831e-02 1.775284339354068e-02
1.066955995558793e+01 -1.151594771014537e-02 1.838391718023793e-02
1.076075277572116e+01 -9.817065727177719e-03 1.884726392980807e-02
1.085194559585439e+01 -8.083555226163573e-03 1.914360917154654e-02
1.094313841598762e+01 -6.330560991047317e-03 1.927502811440282e-02
1.103433123612085e+01 -4.572979010601995e-03 1.924489233723984e-02
1.112552405625408e+01 -2.825341042947268e-03 1.905780725184486e-02
1.121671687638731e+01 -1.101705275091633e-03 1.871954109766811e-02
1.130790969652054e+01 5.844461868725686e-04 1.823694627935712e-02
1.139910251665377e+01 2.220302337316050e-03 1.761787390190721e-02
1.149029533678700e+01 3.793810220376611e-03 1.687108239334601e-02
1.158148815692023e+01 5.293753311454343e-03 1.600614113112453e-02
1.167268097705346e+01 6.709820917739186e-03 1.503333000573992e-02
1.176387379718669e+01 8.032668270197975e-03 1.396353586363952e-02
1.185506661731992e+01 9.253967065415928e-03 1.280814677134633e-02
1.194625943745315e+01 1.036644630126283e-02 1.157894503430961e-02
1.203745225758638e+01 1.136392333479569e-02 1.028799988762685e-02
1.212864507771961e+01 1.224132517341629e-02 8.947560751989133e-03
1.221983789785284e+01 1.299470009042058e-02 7.569951917519863e-03
1.231103071798607e+01 1.362121973310554e-02 6.167469481199534e-03
1.240222353811930e+01 1.411917196499246e-02 4.752281320915427e-03
1.249341635825254e+01 1.448794475299388e-02 3.336330841477081e-03
1.258460917838577e+01 1.472800147506454e-02 1.931245175824173e-03
1.267580199851900e+01 1.484084808365897e-02 5.482484687409045e-04
1.276699481865223e+01 1.482899261485175e-02 -8.019191887222958e-04
1.285818763878546e+01 1.469589758199499e-02 -2.109076667659070e-03
1.294938045891869e+01 1.444592583607709e-02 -3.363670109906806e-03
1.304057327905192e+01 1.408428051234171e-02 -4.556834259565192e-03
1.313176609918515e+01 1.361693971410779e-02 -5.680446506587458e-03
1.322295891931838e+01 1.305058661002618e-02 -6.727173398591376e-03
1.331415173945161e+01 1.239253564018591e-02 -7.690509444130994e-03
1.340534455958484e+01 1.165065553955490e-02 -8.564808097406590e-03
1.349653737971807e+01 1.083328989425908e-02 -9.345304880319448e-03
1.358773019985130e+01 9.949175947264971e-03 -1.002813266245467e-02
1.367892301998453e+01 9.007362365266973e-03 -1.061032918255931e-02
1.377011584011776e+01 8.017126668167542e-03 -1.108983695593999e-02
1.386130866025099e+01 6.987893006688452e-03 -1.146549577050685e-02
1.395250148038422e+01 5.929150952616935e-03 -1.173702802952478e-02
1.404369430051745e+01 4.850375940260726e-03 -1.190501725110018e-02
1.413488712065068e+01 3.760951967184876e-03 -1.197088008265719e-02
1.422607994078391e+01 2.670097127588233e-03 -1.193683223279607e-02
1.431727276091714e+01 1.586792513135508e-03 -1.180584876266846e-02
1.440846558105037e+01 5.197149741055767e-04 -1.158161921408343e-02
1.449965840118360e+01 -5.228258112164819e-04 -1.126849808175352e-02
1.459085122131683e+01 -1.532945558433623e-03 -1.087145116223624e-02
1.468204404145006e+01 -2.503238539263307e-03 -1.039599833211035e-02
1.477323686158329e+01 -3.426825384242839e-03 -9.848153322693624e-03
1.486442968171652e+01 -4.297395278269585e-03 -9.234361068162370e-03
1.495562250184975e+01 -5.109242354176911e-03 -8.561433208329926e-03
1.504681532198298e+01 -5.857296142561494e-03 -7.836482326694616e-03
1.513800814211621e+01 -6.537145988809299e-03 -7.066855498836012e-03
1.522920096224944e+01 -7.145059400279746e-03 -6.260067716028142e-03
1.532039378238267e+01 -7.677994337484425e-03 -5.423735734292177e-03
1.541158660251590e+01 -8.133605512446115e-03 -4.565512880306165e-03
1.550277942264913e+01 -8.510244804880164e-03 -3.693025322928730e-03
1.559397224278236e+01 -8.806955952066632e-03 -2.813810292901684e-03
1.568516506291559e+01 -9.023463710971078e-03 -1.935256703913099e-03
1.577635788304882e+01 -9.160157731049869e-03 -1.064548595977841e-03
1.586755070318205e+01 -9.218071412998905e-03 -2.086117873834477e-04
1.595874352331528e+01 -9.198856062263016e-03 6.259359153852419e-04
1.604993634344851e+01 -9.104750676239295e-03 1.432830638930427e-03
1.614112916358174e+01 -8.938547730636426e-03 2.206204224633732e-03
1.623232198371497e+01 -8.703555353281300e-03 2.940621641025454e-03
1.632351480384820e+01 -8.403556292713011e-03 3.631113838881156e-03
1.641470762398143e+01 -8.042764104123532e-03 4.273205903249766e-03
1.650590044411466e+01 -7.625776986575017e-03 4.862940398810538e-03
1.659709326424789e+01 -7.157529712957350e-03 5.396895846864542e-03
1.668828608438112e+01 -6.643244097886316e-03 5.872200313574294e-03
1.677947890451435e+01 -6.088378448751696e-03 6.286540129467517e-03
1.687067172464758e+01 -5.498576441501563e-03 6.638163799423485e-03
1.696186454478081e+01 -4.879615855616491e-03 6.925881200082268e-03
1.705305736491404e+01 -4.237357592232569e-03 7.149058197591395e-03
1.714425018504727e+01 -3.577695385685962e-03 7.307606852581541e-03
1.723544300518050e+01 -2.906506602067047e-03 7.401971411011476e-03
1.732663582531373e+01 -2.229604498901876e-03 7.433110308832638e-03
1.741782864544696e+01 -1.552692298053967e-03 7.402474445108305e-03
1.750902146558019e+01 -8.813193996071582e-04 7.311982002119501e-03
1.760021428571342e+01 -2.208400381111452e-04 7.163990111964449e-03
1.769140710584665e+01 4.236253455832131e-04 6.961263687104057e-03
1.778259992597988e+01 1.047225773321508e-03 6.706941747144920e-03
1.787379274611311e+01 1.645412226758516e-03 6.404501585836572e-03
1.796498556624634e+01 2.213966791648738e-03 6.057721130773465e-03
1.805617838637957e+01 2.749028300790074e-03 5.670639853646760e-03
1.814737120651280e+01 3.247114359854313e-03 5.247518591127166e-03
1.823856402664603e+01 3.705139673160667e-03 4.792798635646130e-03
1.832975684677927e+01 4.120430619061325e-03 4.311060451572457e-03
1.842094966691250e+01 4.490736056746539e-03 3.806982365672560e-03
1.851214248704573e+01 4.814234377688310e-03 3.285299571434086e-03
1.860333530717896e+01 5.089536845387380e-03 2.750763774982421e-03
1.869452812731219e+01 5.315687296343806e-03 2.208103796102388e-03
1.878572094744542e+01 5.492158303029690e-03 1.661987421481589e-03
1.887691376757865e+01 5.618843925914010e-03 1.116984788917593e-03
1.896810658771188e+01 5.696049206102898e-03 5.775335610878316e-04
1.905929940784511e+01 5.724476572762819e-03 4.790612578493369e-05
1.915049222797834e+01 5.705209360057187e-03 -4.678209635073724e-04
