# omega0=1, alpha=0.689
# theta0=0.1, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  1.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 9.959372448275601e-02 -8.811811250523938e-03
1.823856402664613e-01 9.841131834700029e-02 -1.701636905569971e-02
2.735784603996920e-01 9.650952435759018e-02 -2.458487941207541e-02
3.647712805329227e-01 9.394739820317033e-02 -3.149537220517193e-02
4.559641006661534e-01 9.078569718082345e-02 -3.773245465457536e-02
5.471569207993838e-01 8.708629291003049e-02 -4.328703152653545e-02
6.383497409326140e-01 8.291161093063033e-02 -4.815599592910472e-02
7.295425610658441e-01 7.832409970201676e-02 -5.234189428748230e-02
8.207353811990743e-01 7.338573120000254e-02 -5.585256894865288e-02
9.119282013323045e-01 6.815753499767514e-02 -5.870078177650079e-02
1.003121021465535e+00 6.269916741217836e-02 -6.090382205878529e-02
1.094313841598765e+00 5.706851699696951e-02 -6.248310204047185e-02
1.185506661731995e+00 5.132134735646485e-02 -6.346374340766303e-02
1.276699481865225e+00 4.551097795630733e-02 -6.387415805688015e-02
1.367892301998455e+00 3.968800329837352e-02 -6.374562648138067e-02
1.459085122131685e+00 3.390005052688030e-02 -6.311187707764195e-02
1.550277942264916e+00 2.819157523331385e-02 -6.200866961217524e-02
1.641470762398146e+00 2.260369493680395e-02 -6.047338598578716e-02
1.732663582531376e+00 1.717405943679519e-02 -5.854463128687774e-02
1.823856402664606e+00 1.193675697029039e-02 -5.626184793798309e-02
1.915049222797836e+00 6.922254860245457e-03 -5.366494551380675e-02
2.006242042931067e+00 2.157373118167082e-03 -5.079394854981242e-02
2.097434863064297e+00 -2.334710734672246e-03 -4.768866437497212e-02
2.188627683197527e+00 -6.534427534686388e-03 -4.438837269828972e-02
2.279820503330757e+00 -1.042575508282400e-02 -4.093153836440079e-02
2.371013323463987e+00 -1.399613165615688e-02 -3.735554837686264e-02
2.462206143597217e+00 -1.723634667546190e-02 -3.369647397606681e-02
2.553398963730448e+00 -2.014041083801482e-02 -2.998885825848658e-02
2.644591783863678e+00 -2.270540805613050e-02 -2.626552954053495e-02
2.735784603996908e+00 -2.493133154837773e-02 -2.255744040773253e-02
2.826977424130138e+00 -2.682090641390873e-02 -1.889353215099319e-02
2.918170244263368e+00 -2.837940098321616e-02 -1.530062407825530e-02
3.009363064396598e+00 -2.961442918320529e-02 -1.180332700198178e-02
3.100555884529828e+00 -3.053574608309637e-02 -8.423980040880963e-03
3.191748704663059e+00 -3.115503870263759e-02 -5.182609736515265e-03
3.282941524796289e+00 -3.148571406757675e-02 -2.096910370701637e-03
3.374134344929519e+00 -3.154268639131651e-02 8.177557241192937e-04
3.465327165062749e+00 -3.134216514798936e-02 3.548339144097061e-03
3.556519985195979e+00 -3.090144568247307e-02 6.084067023096253e-03
3.647712805329209e+00 -3.023870387858262e-02 8.416390654823344e-03
3.738905625462440e+00 -2.937279627910644e-02 1.053891854054649e-02
3.830098445595670e+00 -2.832306692164319e-02 1.244733629275067e-02
3.921291265728900e+00 -2.710916202335194e-02 1.413931483232880e-02
4.012484085862130e+00 -2.575085351666243e-02 1.561440831467767e-02
4.103676905995361e+00 -2.426787230753237e-02 1.687394320911811e-02
4.194869726128591e+00 -2.267975199875218e-02 1.792089993697441e-02
4.286062546261821e+00 -2.100568369380477e-02 1.875978844686438e-02
4.377255366395051e+00 -1.926438237257663e-02 1.939651907161075e-02
4.468448186528281e+00 -1.747396520944131e-02 1.983826996998153e-02
4.559641006661511e+00 -1.565184208753085e-02 2.009335240849392e-02
4.650833826794742e+00 -1.381461845097558e-02 2.017107508410052e-02
