# omega0=1, alpha=1
# theta0=0.1, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  1.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 9.959749806048256e-02 -8.689319428821170e-03
1.823856402664613e-01 9.844030830522774e-02 -1.655261612037873e-02
2.735784603996920e-01 9.660335445286002e-02 -2.359972225222145e-02
3.647712805329227e-01 9.416040494899484e-02 -2.984603917373353e-02
4.559641006661534e-01 9.118359313433608e-02 -3.531192537620031e-02
5.471569207993838e-01 8.774299240482912e-02 -4.002210287534328e-02
6.383497409326140e-01 8.390624457930040e-02 -4.400508423983848e-02
7.295425610658441e-01 7.973823950632122e-02 -4.729262208055882e-02
8.207353811990743e-01 7.530084379161975e-02 -4.991918249935043e-02
9.119282013323045e-01 7.065267640213888e-02 -5.192144375529193e-02
1.003121021465535e+00 6.584892879710220e-02 -5.333782121599436e-02
1.094313841598765e+00 6.094122714657375e-02 -5.420801950100931e-02
1.185506661731995e+00 5.597753412202466e-02 -5.457261257767149e-02
1.276699481865225e+00 5.100208768066267e-02 -5.447265242498167e-02
1.367892301998455e+00 4.605537421593273e-02 -5.394930673083308e-02
1.459085122131685e+00 4.117413341137359e-02 -5.304352592804502e-02
1.550277942264916e+00 3.639139211484734e-02 -5.179573970434671e-02
1.641470762398146e+00 3.173652454595562e-02 -5.024558294206244e-02
1.732663582531376e+00 2.723533616191373e-02 -4.843165085785795e-02
1.823856402664606e+00 2.291016853663718e-02 -4.639128292562612e-02
1.915049222797836e+00 1.878002265427038e-02 -4.416037498100481e-02
2.006242042931067e+00 1.486069808139654e-02 -4.177321872872607e-02
2.097434863064297e+00 1.116494556084888e-02 -3.926236770824130e-02
2.188627683197527e+00 7.702630663173553e-03 -3.665852862249117e-02
2.279820503330757e+00 4.480906237851177e-03 -3.399047680216014e-02
2.371013323463987e+00 1.504391523623669e-03 -3.128499446530039e-02
2.462206143597217e+00 -1.224644096195483e-03 -2.856683034100595e-02
2.553398963730448e+00 -3.706094573687140e-03 -2.585867915624493e-02
2.644591783863678e+00 -5.941829652597610e-03 -2.318117943669220e-02
2.735784603996908e+00 -7.935507899250765e-03 -2.055292804453225e-02
2.826977424130138e+00 -9.692391762080907e-03 -1.799050986734559e-02
2.918170244263368e+00 -1.121916596940560e-02 -1.550854108064448e-02
3.009363064396598e+00 -1.252376043218475e-02 -1.311972443046434e-02
3.100555884529828e+00 -1.361517867843822e-02 -1.083491501962335e-02
3.191748704663059e+00 -1.450333270984546e-02 -8.663195129802072e-03
3.282941524796289e+00 -1.519888503976940e-02 -6.611956669495259e-03
3.374134344929519e+00 -1.571309854630189e-02 -4.686989903296224e-03
3.465327165062749e+00 -1.605769465452463e-02 -2.892577189189872e-03
3.556519985195979e+00 -1.624472024947682e-02 -1.231590526029092e-03
3.647712805329209e+00 -1.628642361564665e-02 2.944082081896104e-04
3.738905625462440e+00 -1.619513960037228e-02 1.685065366410825e-03
3.830098445595670e+00 -1.598318410746569e-02 2.941132949103810e-03
3.921291265728900e+00 -1.566275794369323e-02 4.064366204496113e-03
4.012484085862130e+00 -1.524585996442419e-02 5.057422209346144e-03
4.103676905995361e+00 -1.474420939570072e-02 5.923760148178377e-03
4.194869726128591e+00 -1.416917714804765e-02 6.667543931708037e-03
4.286062546261821e+00 -1.353172588235027e-02 7.293547720141921e-03
4.377255366395051e+00 -1.284235853987042e-02 7.807064844479395e-03
4.468448186528281e+00 -1.211107500670673e-02 8.213820549118712e-03
4.559641006661511e+00 -1.134733654747419e-02 8.519888912220814e-03
4.650833826794742e+00 -1.056003761340140e-02 8.731614236581847e-03
4.742026646927972e+00 -9.757484606126597e-03 8.855537143371965e-03
4.833219467061202e+00 -8.947381159907558e-03 8.898325544140925e-03
4.924412287194432e+00 -8.136819491428166e-03 8.866710613074150e-03
5.015605107327662e+00 -7.332277357558774e-03 8.767427831688091e-03
5.106797927460892e+00 -6.539620156974985e-03 8.607163132037991e-03
5.197990747594122e+00 -5.764107711123635e-03 8.392504122109836e-03
5.289183567727353e+00 -5.010405263305471e-03 8.129896338392480e-03
5.380376387860583e+00 -4.282598241282266e-03 7.825604435663476e-03
5.471569207993813e+00 -3.584210338474656e-03 7.485678192737713e-03
5.562762028127043e+00 -2.918224481162851e-03 7.115923185262577e-03
5.653954848260273e+00 -2.287106263809080e-03 6.721875952516626e-03
5.745147668393503e+00 -1.692829451370004e-03 6.308783464478874e-03
5.836340488526734e+00 -1.136903165951250e-03 5.881586678061672e-03
5.927533308659964e+00 -6.204003950785676e-04 5.444907957203622e-03
6.018726128793194e+00 -1.439874799379858e-04 5.003042120346108e-03
6.109918948926424e+00 2.920457360974965e-04 4.559950870501563e-03
6.201111769059654e+00 6.877553957372758e-04 4.119260357486360e-03
6.292304589192884e+00 1.043513026922576e-03 3.684261618751382e-03
6.383497409326115e+00 1.359975103761628e-03 3.257913644408291e-03
6.474690229459345e+00 1.638052996999511e-03 2.842848813325467e-03
6.565883049592575e+00 1.878883518820035e-03 2.441380450359663e-03
6.657075869725805e+00 2.083800244196546e-03 2.055512259703576e-03
6.748268689859035e+00 2.254305768947481e-03 1.686949395774428e-03
6.839461509992265e+00 2.392045043241742e-03 1.337110940857102e-03
6.930654330125495e+00 2.498779898652904e-03 1.007143567665932e-03
7.021847150258726e+00 2.576364867077640e-03 6.979361749269774e-04
7.113039970391956e+00 2.626724370995113e-03 4.101352948403722e-04
7.204232790525186e+00 2.651831346717701e-03 1.441610827013235e-04
7.295425610658416e+00 2.653687345522853e-03 -9.977628911129808e-05
7.386618430791646e+00 2.634304141901174e-03 -3.216599982685472e-04
7.477811250924876e+00 2.595686863634902e-03 -5.216498536955228e-04
7.569004071058107e+00 2.539818645049857e-03 -7.000656311338145e-04
7.660196891191337e+00 2.468646792568802e-03 -8.573705906814837e-04
7.751389711324567e+00 2.384070440630561e-03 -9.941552913544374e-04
7.842582531457797e+00 2.287929666114811e-03 -1.111121805322475e-03
7.933775351591027e+00 2.181996020606334e-03 -1.209068422349483e-03
8.024968171724257e+00 2.067964432117034e-03 -1.288874923182847e-03
8.116160991857488e+00 1.947446421225251e-03 -1.351488489255801e-03
8.207353811990718e+00 1.821964570950599e-03 -1.397910305142937e-03
8.298546632123948e+00 1.692948185014633e-03 -1.429182899790036e-03
8.389739452257178e+00 1.561730065395452e-03 -1.446378262663142e-03
8.480932272390408e+00 1.429544337216783e-03 -1.450586761659316e-03
8.572125092523638e+00 1.297525246965823e-03 -1.442906880916425e-03
8.663317912656868e+00 1.166706858753693e-03 -1.424435788568610e-03
8.754510732790099e+00 1.038023572761417e-03 -1.396260737028331e-03
8.845703552923329e+00 9.123113900954340e-04 -1.359451291539919e-03
8.936896373056559e+00 7.903098489524580e-04 -1.315052376542778e-03
9.028089193189789e+00 6.726645582068374e-04 -1.264078123799272e-03
9.119282013323019e+00 5.599302562279475e-04 -1.207506501272890e-03
9.210474833456249e+00 4.525743248552489e-04 -1.146274697372639e-03
9.301667653589480e+00 3.509806909505345e-04 -1.081275231392177e-03
9.392860473722710e+00 2.554540507583836e-04 -1.013352757746409e-03
9.484053293855940e+00 1.662243553867720e-04 -9.433015289208776e-04
9.575246113989170e+00 8.345149902220950e-05 -8.718634798747306e-04
9.666438934122400e+00 7.230154972141405e-06 -7.997268949489197e-04
9.757631754255630e+00 -6.240529176128131e-05 -7.275256170988428e-04
9.848824574388860e+00 -1.254757629678903e-04 -6.558387584647407e-04
9.940017394522091e+00 -1.820525006091966e-04 -5.851908708831544e-04
1.003121021465532e+01 -2.322521151438417e-04 -5.160525348973417e-04
1.012240303478855e+01 -2.762317050830380e-04 -4.488413261123436e-04
1.021359585492178e+01 -3.141840803319646e-04 -3.839231183300485e-04
1.030478867505501e+01 -3.463331182111766e-04 -3.216136837601199e-04
1.039598149518824e+01 -3.729292774798370e-04 -2.621805517035830e-04
1.048717431532147e+01 -3.942452922205634e-04 -2.058450884175015e-04
1.057836713545470e+01 -4.105720641117801e-04 -1.527847623627074e-04
1.066955995558793e+01 -4.222147684230048e-04 -1.031355606842728e-04
1.076075277572116e+01 -4.294891860343144e-04 -5.699452454977425e-05
1.085194559585439e+01 -4.327182709138044e-04 -1.442237284817305e-05
1.094313841598762e+01 -4.322289597944245e-04 2.455381429152161e-05
1.103433123612085e+01 -4.283492282802739e-04 5.993787869013090e-05
1.112552405625408e+01 -4.214053952864263e-04 9.176185849724610e-05
1.121671687638731e+01 -4.117196755779528e-04 1.200832761760016e-04
1.130790969652054e+01 -3.996079782236593e-04 1.449824604485380e-04
1.139910251665377e+01 -3.853779470172248e-04 1.665599205131510e-04
1.149029533678700e+01 -3.693272373405953e-04 1.849337888329689e-04
1.158148815692023e+01 -3.517420225480693e-04 2.002373468306849e-04
1.167268097705346e+01 -3.328957217297708e-04 2.126166459159975e-04
1.176387379718669e+01 -3.130479396644448e-04 2.222282344321307e-04
1.185506661731992e+01 -2.924436088871498e-04 2.292369993438420e-04
1.194625943745315e+01 -2.713123230701560e-04 2.338141298090292e-04
1.203745225758638e+01 -2.498678503372759e-04 2.361352081854845e-04
1.212864507771961e+01 -2.283078146945397e-04 2.363784325283068e-04
