# Spherical Bessel functions via up and down recursion
        x             ans_up             ans_down             rel_diff             log10(x)          log10(rel_diff)            j10(x)
0.1000000000000 7.2715109967137e-21 3.4267443425567e+02 1.0000000000000e+00 -1.0000000000000e+00 0.0000000000000e+00 7.2715109967137e-21 
0.2000000000000 7.4411725280515e-18 -1.3715933645000e-01 1.0000000000000e+00 -6.9897000433602e-01 0.0000000000000e+00 7.4411725280515e-18 
0.3000000000000 4.2862929705601e-16 3.9082557909065e-04 9.9999999999781e-01 -5.2287874528034e-01 -9.5261088783571e-13 4.2862929705601e-16 
0.4000000000000 7.5999054878014e-15 -3.6628963986646e-04 1.0000000000000e+00 -3.9794000867204e-01 0.0000000000000e+00 7.5999054878014e-15 
0.5000000000000 7.0641239636619e-14 -2.1535726743238e-05 1.0000000000000e+00 -3.0102999566398e-01 0.0000000000000e+00 7.0641239636619e-14 
0.6000000000000 4.3634669469701e-13 3.8154843415536e-06 9.9999977127588e-01 -2.2184874961636e-01 -9.9333633435302e-08 4.3634669469701e-13 
0.7000000000000 2.0326908136586e-12 -7.7011723499534e-07 1.0000000000000e+00 -1.5490195998574e-01 0.0000000000000e+00 2.0326908136586e-12 
0.8000000000000 7.7014628084179e-12 -3.5466350728425e-07 1.0000000000000e+00 -9.6910013008056e-02 0.0000000000000e+00 7.7014628084179e-12 
0.9000000000000 2.4916751284486e-11 2.7693206842785e-08 9.9820213289692e-01 -4.5757490560675e-02 -7.8150649517014e-04 2.4916751284486e-11 
1.0000000000000 7.1165526400473e-11 4.0010148533459e-08 9.9644894245263e-01 -4.8216373327664e-17 -1.5449494262805e-03 7.1165526400473e-11 
1.1000000000000 1.8374267942633e-10 5.8603022841258e-09 9.3919877150671e-01 4.1392685158225e-02 -2.7242484163120e-02 1.8374267942633e-10 
1.2000000000000 4.3643458262230e-10 -4.8767261623385e-09 1.0000000000000e+00 7.9181246047625e-02 0.0000000000000e+00 4.3643458262230e-10 
1.3000000000000 9.6643681646248e-10 -1.5330267031253e-09 1.0000000000000e+00 1.1394335230684e-01 0.0000000000000e+00 9.6643681646248e-10 
1.4000000000000 2.0158724116622e-09 2.2603005461555e-09 5.7160488339568e-02 1.4612803567824e-01 -1.2429040695544e+00 2.0158724116622e-09 
1.5000000000000 3.9934406994836e-09 3.4496752342996e-09 7.3056159546830e-02 1.7609125905568e-01 -1.1363431617362e+00 3.9934406994836e-09 
1.6000000000000 7.5630221314253e-09 7.3366727492991e-09 1.5191544789220e-02 2.0411998265592e-01 -1.8183980615999e+00 7.5630221314253e-09 
1.7000000000000 1.3767474201407e-08 1.3729204033099e-08 1.3918106027602e-03 2.3044892137827e-01 -2.8564198593896e+00 1.3767474201407e-08 
1.8000000000000 2.4197355439535e-08 2.4199534702288e-08 4.5028983179740e-05 2.5527250510331e-01 -4.3465078599306e+00 2.4197355439535e-08 
1.9000000000000 4.1215880664439e-08 4.1245061730410e-08 3.5387742515801e-04 2.7875360095283e-01 -3.4511471413524e+00 4.1215880664439e-08 
2.0000000000000 6.8253008649747e-08 6.8341991024359e-08 6.5143215215849e-04 3.0102999566398e-01 -3.1861308101549e+00 6.8253008649747e-08 
2.1000000000000 1.1018315590038e-07 1.1018685979193e-07 1.6807602172334e-05 3.2221929473392e-01 -4.7744942400170e+00 1.1018315590038e-07 
2.2000000000000 1.7380257612438e-07 1.7380011585133e-07 7.0778308360306e-06 3.4242268082221e-01 -5.1500998214465e+00 1.7380257612438e-07 
2.3000000000000 2.6842389956768e-07 2.6843883723175e-07 2.7823991207617e-05 3.6172783601759e-01 -4.5555805725784e+00 2.6842389956768e-07 
2.4000000000000 4.0660664225235e-07 4.0660243158862e-07 5.1778366267472e-06 3.8021124171161e-01 -5.2858516567249e+00 4.0660664225235e-07 
2.5000000000000 6.0504362296386e-07 6.0504559094074e-07 1.6263072653384e-06 3.9794000867204e-01 -5.7887973978354e+00 6.0504362296386e-07 
2.6000000000000 8.8562411509725e-07 8.8562584119974e-07 9.7451096031633e-07 4.1497334797082e-01 -6.0112132720126e+00 8.8562411509725e-07 
2.7000000000000 1.2766951605297e-06 1.2766983776067e-06 1.2599220976505e-06 4.3136376415899e-01 -5.8996563069511e+00 1.2766951605297e-06 
2.8000000000000 1.8145427336307e-06 1.8145428319589e-06 2.7094489675230e-08 4.4715803134222e-01 -7.5671190245120e+00 1.8145427336306e-06 
2.9000000000000 2.5451143172012e-06 2.5451137212733e-06 1.1707293339791e-07 4.6239799789896e-01 -6.9315434997582e+00 2.5451143172012e-06 
3.0000000000000 3.5260038931753e-06 3.5260028977733e-06 1.4115159702855e-07 4.7712125471966e-01 -6.8503142037603e+00 3.5260038931753e-06 
3.1000000000000 4.8287193177151e-06 4.8287195939981e-06 2.8608310433513e-08 4.9136169383427e-01 -7.5435077902573e+00 4.8287193177151e-06 
3.2000000000000 6.5412505060972e-06 6.5412507704527e-06 2.0206796141115e-08 5.0514997831991e-01 -7.6945025399501e+00 6.5412505060972e-06 
3.3000000000000 8.7709547664656e-06 8.7709548391121e-06 4.1413152026012e-09 5.1851393987789e-01 -8.3828617133419e+00 8.7709547664656e-06 
3.4000000000000 1.1647772968786e-05 1.1647772661833e-05 1.3176492601985e-08 5.3147891704226e-01 -7.8802001774749e+00 1.1647772968786e-05 
3.5000000000000 1.5327786999397e-05 1.5327787237228e-05 7.7581616455385e-09 5.4406804435028e-01 -8.1102411758788e+00 1.5327786999397e-05 
3.6000000000000 1.9997125123985e-05 1.9997125134283e-05 2.5750928146026e-10 5.5630250076729e-01 -9.5892071129749e+00 1.9997125123985e-05 
3.7000000000000 2.5876217463288e-05 2.5876217481566e-05 3.5317395945479e-10 5.6820172406700e-01 -9.4520113257117e+00 2.5876217463288e-05 
3.8000000000000 3.3224398786640e-05 3.3224398801742e-05 2.2727713767275e-10 5.7978359661681e-01 -9.6434442487534e+00 3.3224398786640e-05 
3.9000000000000 4.2344850269021e-05 4.2344850210004e-05 6.9685800050631e-10 5.9106460702650e-01 -9.1568557095338e+00 4.2344850269021e-05 
4.0000000000000 5.3589865768633e-05 5.3589865804506e-05 3.3470412920425e-10 6.0205999132796e-01 -9.4753389297708e+00 5.3589865768633e-05 
4.1000000000000 6.7366421605616e-05 6.7366421663439e-05 4.2916898917144e-10 6.1278385671974e-01 -9.3673716667580e+00 6.7366421605616e-05 
4.2000000000000 8.4142021810969e-05 8.4142021850607e-05 2.3553932382286e-10 6.2324929039790e-01 -9.6279365760358e+00 8.4142021810969e-05 
4.3000000000000 1.0445078343092e-04 1.0445078342134e-04 4.5883296799513e-11 6.3346845557959e-01 -1.0338345384790e+01 1.0445078343092e-04 
4.4000000000000 1.2889971878954e-04 1.2889971879994e-04 4.0364329333966e-11 6.4345267648619e-01 -1.0394002259060e+01 1.2889971878954e-04 
4.5000000000000 1.5817516371456e-04 1.5817516371565e-04 3.4530098410423e-12 6.5321251377534e-01 -1.1461802183914e+01 1.5817516371456e-04 
4.6000000000000 1.9304929271149e-04 1.9304929271811e-04 1.7157892191812e-11 6.6275783168157e-01 -1.0765536065304e+01 1.9304929271149e-04 
4.7000000000000 2.3438665402994e-04 2.3438665402779e-04 4.5972512112060e-12 6.7209785793572e-01 -1.1337501764107e+01 2.3438665402994e-04 
4.8000000000000 2.8315064961404e-04 2.8315064961874e-04 8.3044756382238e-12 6.8124123737559e-01 -1.1080687784599e+01 2.8315064961404e-04 
