          N       log(N)     log(diff)
        100 2.00000000e+00 -6.73554754e+00
       1000 3.00000000e+00 -6.04972124e+00
      10000 4.00000000e+00 -6.05703402e+00
     100000 5.00000000e+00 -4.23853302e+00
    1000000 6.00000000e+00 -2.60991240e+00
   10000000 7.00000000e+00 -1.09732974e+00
  100000000 8.00000000e+00 -7.01123774e-01
 1000000000 9.00000000e+00 -7.01123774e-01
10000000000 1.00000000e+01 -7.01123774e-01
